0.0294,0.5746,0.0655,0.0074,0.0971,0.5746,0.0149
0.0796,0.2397,0.7692,0.1662,0.3015,0.2397,0.2223
0.8733,0.5057,0.0754,0.0933,0.0000,0.5057,0.0132
0.0000,0.3119,0.0240,0.0000,0.1754,0.3119,0.0055
0.1633,0.7946,0.6066,0.1467,0.5171,0.7946,0.1176
0.6989,0.6191,0.1220,0.1094,0.7180,0.6191,0.0203
0.0882,0.7051,0.1496,0.0221,0.5356,0.7051,0.0269
0.5987,0.5520,0.2653,0.2218,0.6746,0.5520,0.0470
0.3759,0.5907,0.1473,0.0800,0.9201,0.5907,0.0270
0.6281,0.8399,0.0153,0.0155,1.0000,0.8399,0.0029
0.0045,0.3768,0.0706,0.0030,0.1520,0.3768,0.0153
0.0151,0.5325,0.0209,0.0004,0.2159,0.5325,0.0048
0.0725,0.3422,0.0509,0.0133,0.0000,0.3422,0.0191
0.4589,0.4834,0.1584,0.1269,0.6846,0.4834,0.0350
0.1384,0.3926,0.0119,0.0032,0.0000,0.3926,0.0034
1.0000,0.6422,0.0000,0.0032,0.0000,0.6422,0.0000
0.1170,0.2174,0.0020,0.0000,0.4401,0.2174,0.0019
0.0184,0.2605,0.3335,0.0296,0.0000,0.2605,0.1004
0.1408,0.6278,0.0092,0.0020,0.0000,0.6278,0.0019
0.2564,0.4499,0.0319,0.0128,0.7268,0.4499,0.0058
0.7414,0.6117,0.0190,0.0176,0.0000,0.6117,0.0028
0.0065,0.2535,0.2251,0.1056,0.0978,0.2535,0.5527
0.0039,0.1665,0.3878,0.1400,0.2270,0.1665,1.0000
0.1941,0.5159,0.0092,0.0027,0.6580,0.5159,0.0017
0.7278,0.5836,1.0000,1.0000,0.9751,0.5836,0.1850
